table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts)
Annual Estimates of the Resident Population for Puerto Rico Municipios: April 1, 2020 to July 1, 2023
Geographic Area	April 1, 2020 Estimates Base	Population Estimate (as of July 1)
		2020	2021	2022	2023
Puerto Rico	3,285,874	3,281,557	3,262,693	3,220,113	3,205,691
.Adjuntas Municipio, Puerto Rico	18,020	18,010	18,025	17,897	17,900
.Aguada Municipio, Puerto Rico	38,136	38,108	38,003	37,639	37,528
.Aguadilla Municipio, Puerto Rico	55,101	55,046	54,614	53,883	53,622
.Aguas Buenas Municipio, Puerto Rico	24,223	24,189	23,976	23,521	23,274
.Aibonito Municipio, Puerto Rico	24,637	24,633	24,680	24,534	24,602
.Añasco Municipio, Puerto Rico	25,596	25,570	25,414	25,007	24,815
.Arecibo Municipio, Puerto Rico	87,754	87,637	87,130	86,035	85,641
.Arroyo Municipio, Puerto Rico	15,843	15,817	15,607	15,275	15,078
.Barceloneta Municipio, Puerto Rico	22,657	22,669	22,632	22,408	22,376
.Barranquitas Municipio, Puerto Rico	28,983	28,981	29,071	28,919	29,020
.Bayamón Municipio, Puerto Rico	185,187	184,954	183,960	181,501	180,835
.Cabo Rojo Municipio, Puerto Rico	47,158	47,121	47,093	46,692	46,665
.Caguas Municipio, Puerto Rico	127,244	127,072	126,605	125,076	124,608
.Camuy Municipio, Puerto Rico	32,827	32,818	32,883	32,601	32,625
.Canóvanas Municipio, Puerto Rico	42,337	42,326	42,145	41,615	41,513
.Carolina Municipio, Puerto Rico	154,815	154,557	153,505	151,479	150,843
.Cataño Municipio, Puerto Rico	23,155	23,113	22,811	22,345	22,108
.Cayey Municipio, Puerto Rico	41,652	41,587	41,307	40,767	40,525
.Ceiba Municipio, Puerto Rico	11,307	11,284	11,146	10,925	10,843
.Ciales Municipio, Puerto Rico	16,984	16,972	16,937	16,727	16,691
.Cidra Municipio, Puerto Rico	39,970	39,957	39,908	39,487	39,418
.Coamo Municipio, Puerto Rico	34,668	34,603	34,351	33,876	33,662
.Comerío Municipio, Puerto Rico	18,883	18,867	18,855	18,613	18,601
.Corozal Municipio, Puerto Rico	34,571	34,551	34,581	34,304	34,348
.Culebra Municipio, Puerto Rico	1,792	1,790	1,783	1,769	1,761
.Dorado Municipio, Puerto Rico	35,879	35,902	35,932	35,640	35,702
.Fajardo Municipio, Puerto Rico	32,124	32,087	31,818	31,351	31,166
.Florida Municipio, Puerto Rico	11,692	11,682	11,667	11,538	11,525
.Guánica Municipio, Puerto Rico	13,787	13,686	13,276	12,791	12,415
.Guayama Municipio, Puerto Rico	36,614	36,474	35,622	35,250	34,765
.Guayanilla Municipio, Puerto Rico	17,784	17,739	17,478	17,056	16,813
.Guaynabo Municipio, Puerto Rico	89,780	89,758	89,723	89,011	89,039
.Gurabo Municipio, Puerto Rico	40,622	40,589	40,486	40,042	39,971
.Hatillo Municipio, Puerto Rico	38,486	38,447	38,380	38,001	37,950
.Hormigueros Municipio, Puerto Rico	15,654	15,618	15,567	15,401	15,336
.Humacao Municipio, Puerto Rico	50,896	50,824	50,523	49,896	49,712
.Isabela Municipio, Puerto Rico	42,943	42,939	42,982	42,740	42,794
.Jayuya Municipio, Puerto Rico	14,779	14,771	14,708	14,486	14,435
.Juana Díaz Municipio, Puerto Rico	46,538	46,499	46,398	45,941	45,919
.Juncos Municipio, Puerto Rico	37,012	37,030	36,993	36,645	36,684
.Lajas Municipio, Puerto Rico	23,334	23,279	23,211	22,929	22,872
.Lares Municipio, Puerto Rico	28,105	28,090	27,986	27,754	27,729
.Las Marías Municipio, Puerto Rico	8,874	8,856	8,818	8,704	8,672
.Las Piedras Municipio, Puerto Rico	35,180	35,179	35,142	34,795	34,750
.Loíza Municipio, Puerto Rico	23,693	23,608	23,230	22,646	22,302
.Luquillo Municipio, Puerto Rico	17,781	17,766	17,684	17,438	17,386
.Manatí Municipio, Puerto Rico	39,492	39,451	39,258	38,741	38,655
.Maricao Municipio, Puerto Rico	4,755	4,752	4,680	4,570	4,523
.Maunabo Municipio, Puerto Rico	10,589	10,581	10,525	10,359	10,266
.Mayagüez Municipio, Puerto Rico	73,077	72,843	71,929	70,588	69,798
.Moca Municipio, Puerto Rico	37,460	37,455	37,500	37,253	37,325
.Morovis Municipio, Puerto Rico	28,727	28,704	28,589	28,266	28,197
.Naguabo Municipio, Puerto Rico	23,386	23,384	23,275	22,959	22,838
.Naranjito Municipio, Puerto Rico	29,241	29,246	29,344	29,185	29,282
.Orocovis Municipio, Puerto Rico	21,434	21,431	21,414	21,214	21,204
.Patillas Municipio, Puerto Rico	15,985	15,937	15,804	15,517	15,347
.Peñuelas Municipio, Puerto Rico	20,399	20,349	20,142	19,751	19,563
.Ponce Municipio, Puerto Rico	137,491	137,149	134,752	132,114	130,251
.Quebradillas Municipio, Puerto Rico	23,638	23,619	23,540	23,322	23,254
.Rincón Municipio, Puerto Rico	15,187	15,206	15,335	15,307	15,425
.Río Grande Municipio, Puerto Rico	47,060	47,005	46,574	45,811	45,568
.Sabana Grande Municipio, Puerto Rico	22,729	22,701	22,632	22,343	22,210
.Salinas Municipio, Puerto Rico	25,789	25,722	25,467	24,990	24,718
.San Germán Municipio, Puerto Rico	31,879	31,824	31,571	31,178	30,996
.San Juan Municipio, Puerto Rico	342,259	341,667	339,332	334,587	333,005
.San Lorenzo Municipio, Puerto Rico	37,693	37,671	37,633	37,244	37,264
.San Sebastián Municipio, Puerto Rico	39,345	39,312	39,280	38,957	38,926
.Santa Isabel Municipio, Puerto Rico	20,281	20,269	20,113	19,806	19,693
.Toa Alta Municipio, Puerto Rico	66,852	66,842	66,709	66,016	65,957
.Toa Baja Municipio, Puerto Rico	75,293	75,092	74,188	72,726	71,888
.Trujillo Alto Municipio, Puerto Rico	67,740	67,687	67,520	66,770	66,705
.Utuado Municipio, Puerto Rico	28,287	28,225	27,974	27,514	27,242
.Vega Alta Municipio, Puerto Rico	35,395	35,367	35,205	34,762	34,638
.Vega Baja Municipio, Puerto Rico	54,414	54,357	54,227	53,652	53,527
.Vieques Municipio, Puerto Rico	8,249	8,236	8,171	8,040	7,999
.Villalba Municipio, Puerto Rico	22,093	22,041	21,817	21,454	21,285
.Yabucoa Municipio, Puerto Rico	30,426	30,329	29,944	29,286	28,897
.Yauco Municipio, Puerto Rico	34,172	34,048	33,603	32,881	32,406
Vintage 2023 data products are associated with Data Management System projects P-6000042, P-7501659, and P-7527355. The U.S. Census Bureau reviewed these data products for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY24-0085).
Note: The estimates are developed from a base that integrates the 2020 Census and Vintage 2020 estimates. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2023 population estimates series are as of January 1, 2023.
Suggested Citation:
Annual Estimates of the Resident Population for Puerto Rico Municipios: April 1, 2020 to July 1, 2023 (PRM-EST2023-POP)
Source: U.S. Census Bureau, Population Division
Release Date: March 2024
