Región	Distrito	Municipio Escolar	Código	Escuela	Latitud	Longitud	Status	Nivel	Grado que ofrece	Montessori	Total M1Certificada	Total M1Activa	Estrellas	Puntuación	Clasificación ESSA	Tasa de Deserción	Teléfono	Dirección Física 	Pueblo	Estado	Zipcode	Email	Año_ID
Arecibo	Arecibo	Arecibo II	15784	Abelardo Martínez Otero	18.46253	-66.74019	Abierta	Secundario	9 10 11 12	No	384	383	4	61.8%	Others	1.63%	879-2614	Villa Los Santos Calle 14 Final	Arecibo	PR	6120000	D15784@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Baja	74807	Agapito Rosario Rosario	18.43408	-66.40216	Abierta	Primario	K 1 2 3 4 5 EE	No	449	435	2	33.0%	Others	2.56%	858-2988	Calle S Esq T Urb. Alturas	Vega Baja	PR	6930000	D74807@de.pr.gov	2020-2021
Arecibo	Camuy	Camuy	17467	Amalia López de Ávila (Nueva)	18.46785	-66.84433	Abierta	Primario	K 1 2 3 4 5 EE	No	298	299	2	26.6%	Others	0.00%	898-4830	Carr. 119 Km 5.6 Int.Bo Puente, Sector Zarza	Camuy	PR	6270000	D17467@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Baja	71886	Ángel Sandín Martínez	18.44348	-66.38388	Abierta	Primario	6 7 8 EI	No	359	357	1	18.2%	Others	0.27%	807-2120	4 Calle Julio Otero Esq Jose Acosta	Vega Baja	PR	6930000	D71886@de.pr.gov	2020-2021
Arecibo	Arecibo	Arecibo I	10637	Angélica Gómez de Betancourt	18.47902	-66.69367	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE EI	No	183	183	3	48.6%	Targeted	1.58%	878-1675	Carr. 681 Hm 3 Bo Islote	Arecibo	PR	6120000	D10637@de.pr.gov	2020-2021
Arecibo	Arecibo	Hatillo	17772	Aníbal Reyes Belén	18.36489	-66.80053	Abierta	Secundario	9 10 11 12	No	707	705	2	30.0%	Others	3.85%	820-4022	Carr. 130 K12 4 Bo Campo Alegre	Hatillo	PR	6590000	D17772@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Alta	71738	Antonio Paoli	18.41179	-66.31669	Abierta	Primario	PK K 1 2 3 4 5	Sí	204	215	4	76.8%	Others	3.00%	883-4945	Urb. Santa Rita Calle 9 V. Alta	Vega Alta	PR	9620000	D71738@de.pr.gov	2020-2021
Arecibo	Camuy	Camuy	11023	Antonio Reyes	18.45143	-66.85406	Abierta	Primario	6 7 8 EI	No	331	333	2	32.9%	Others	1.47%	820-1472	Carr. 486 Km 2 Hm 6 Bo Zanja	Camuy	PR	6270000	D11023@de.pr.gov	2020-2021
Arecibo	Manatí	Manatí	12187	Antonio Vélez Alvarado	18.435	-66.46613	Abierta	Primario	PK K 1 2 3 4 5 EE	No	236	237	4	73.0%	Others	2.81%	854-4160	Carr. 2 Km 46 Hm 8 Bo Campo Alegre	Manatí	PR	6740000	D12187@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Alta	71761	Apolo San Antonio	18.41254	-66.33316	Abierta	Primario	6 7 8 EI	No	424	426	2	24.8%	Additional Targeted	4.00%	883-4878	Calle Luis Muñoz Rivera	Vega Alta	PR	9620000	D71761@de.pr.gov	2020-2021
Arecibo	Arecibo	Arecibo I	17343	Bellas Artes	18.4418	-66.67123	Abierta	Todos Los Niveles	SHARED	No					N/A		881-2882	Carr. 662 Sect Los Llanos Bo Santana	Arecibo	PR	6120000	D17343@de.pr.gov	2020-2021
Arecibo	Arecibo	Hatillo	11411	Carmen Noelia Peraza Toledo	18.45667	-66.77591	Abierta	Primario	PK K 1 2 3 4 5	No	321	318	4	76.2%	Others	3.59%	898-0001	Carr. 492 Km 3 Hm 1 Bo Corcovados	Hatillo	PR	6590000	D11411@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Baja	73494	Centro De Adiestramiento	18.43259	-66.42994	Abierta	Todos Los Niveles	EI ES	No	92	90	3	50.0%	Comprehensive	4.85%	855-1360	Carr. 155 Km 6 Hm 5 Bo Pugnado Afuera	Vega Baja	PR	6930000	D73494@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Baja	7315	Christian Military Academy Alliance Alianza	18.4469967871097	-66.417646250044	Abierta	Primario	K 1	No	31	33			N/A	0.00%	(787) 855-3188	Carr. 687 Km 7 Tortuguero	Vega Baja	PR	693		2020-2021
Arecibo	Arecibo	Arecibo II	10173	Cotto (Anexo)	18.46298	-66.73596	Abierta	Todos Los Niveles	EE EI ES	No	31	31			N/A	6.06%	878-8160	Ave. Constitucion Bo Cotto	Arecibo	PR	6120000	D10173@de.pr.gov	2020-2021
Arecibo	Vega Alta	Dorado	76562	Cristóbal Santana Melecio (Nueva)	18.396	-66.25971	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE	No	330	330	3	47.1%	Others	3.72%	870-3416	Calle 8 Rio Lajas	Dorado	PR	6460000	D76562@de.pr.gov	2020-2021
Arecibo	Camuy	Lares	17673	Daniel Vélez Soto	18.29956	-66.88233	Abierta	Primario	PK K 1 2 3 4 5 EE	No	313	307	2	33.7%	Others	1.85%	897-3060	Carr. 111 Km 2 Hm 0	Lares	PR	6690000	D17673@de.pr.gov	2020-2021
Arecibo	Camuy	Lares	11643	Domingo Aponte Collazo	18.29666	-66.87977	Abierta	Secundario	9 10 11 12 ES	No	886	861	2	31.6%	Others	3.50%	897-1570	Carr. 111 Calle Ramon De Jesus Sierra	Lares	PR	6690000	D11643@de.pr.gov	2020-2021
Arecibo	Arecibo	Arecibo II	10439	Dr. Cayetano Coll y Toste	18.42251	-66.64628	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE EI	No	547	548	5	81.2%	Others	2.13%	881-6002	Carr. 638 Hm 5 Bo Miraflores	Arecibo	PR	6120000	D10439@de.pr.gov	2020-2021
Arecibo	Camuy	Quebradillas	12872	Dr. Pedro Albizu Campos	18.46849	-66.93915	Abierta	Primario	6 7 8 EI ES	No	144	149	2	23.7%	Targeted	0.00%	895-2780	Carr. 113 Calle Linares	Quebradillas	PR	6780000	D12872@de.pr.gov	2020-2021
Arecibo	Arecibo	Arecibo II	15024	Elba Lugo Carrion	18.45402	-66.74012	Abierta	Primario	K 1 2 3 4 5 EE	No	329	318	3	59.5%	Others	4.93%	879-4825	Urb. Villa Serena Calle Orquidea	Arecibo	PR	6120000	D15024@de.pr.gov	2020-2021
Arecibo	Vega Alta	Dorado	18259	Elemental Bo. Higuillar (Ecológica)	18.432552	-66.301143	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE EI	No	542	527	2	35.0%	Others	2.18%	278-0321	Carr. 695 Km 1 Hm 16 Bo Higuillar	Dorado	PR	6460000	D18259@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Alta	71720	Elemental Urbana	18.41309	-66.3293	Abierta	Primario	K 1 2 3 4 5 EE	No	173	184	3	49.6%	Others	1.08%	883-2770	Calle Teodomiro Ramirez	Vega Alta	PR	9620000	D71720@de.pr.gov	2020-2021
Arecibo	Manatí	Barceloneta	18176	Eli Ramos Rosario	18.44712	-66.55274	Abierta	Primario	PK K 1 2 3 4 5 EE	No	309	319	2	37.1%	Others	0.30%	846-3165	Carr 140 Bo Fortuna	Barceloneta	PR	6170000	D18176@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Alta	71795	Elisa Dávila Vázquez	18.40217	-66.3027	Abierta	Primario	K 1 2 3 4 5	No	164	168	4	76.5%	Others	1.15%	883-1165	Carr 679 Km 2 Hm 3 Sect Fortuna Bo Espinosa	Vega Alta	PR	9620000	D71795@de.pr.gov	2020-2021
Arecibo	Arecibo	Arecibo I	10272	Eugenio María de Hostos	18.45702	-66.60817	Abierta	Primario	PK K 1 2 3 4 5 6 7 8	No	238	232	2	36.8%	Others	1.22%	881-3540	Carr 682 Km 7 Hm 5 Bo Garrochales	Arecibo	PR	6120000	D10272@de.pr.gov	2020-2021
Arecibo	Arecibo	Hatillo	11403	Eugenio María de Hostos	18.45603	-66.80989	Abierta	Primario	K 1 2 3 4 5 EE	No	259	248	2	22.3%	Others	0.00%	898-1586	Carr 2 Km 84 Hm 5 Calle B Bo Carrizales	Hatillo	PR	6590000	D11403@de.pr.gov	2020-2021
Arecibo	Manatí	Manatí	12138	Evaristo Camacho	18.38165	-66.46826	Abierta	Primario	K 1 2 3 4 5	No	105	104	4	74.4%	Others	0.93%	854-6315	Carr 643 Km 2 Hm 1 Bo Pugnado	Manatí	PR	6740000	D12138@de.pr.gov	2020-2021
Arecibo	Arecibo	Arecibo I	17780	Factor 5	18.4445	-66.63999	Abierta	Primario	K 1 2 3 4 5 EE	No	370	357	3	60.0%	Others	3.64%	881-3090	1 Secc Animas Bo Factor	Arecibo	PR	6120000	D17780@de.pr.gov	2020-2021
Arecibo	Manatí	Manatí	12070	Félix Córdova Dávila	18.43551	-66.4838	Abierta	Primario	K 1 2 3 4 5 EE	No	312	311	5	84.7%	Others	3.65%	854-4255	Carr 668 Km 1 Hm 8 Bda Cordova Davila	Manatí	PR	6740000	D12070@de.pr.gov	2020-2021
Arecibo	Manatí	Manatí	12088	Fernando Callejo	18.4277048099401	-66.4875351405873	Abierta	Secundario	9 10 11 12 ES	No	383	362	2	22.9%	Others	8.72%	854-2629	Calle Vending Esq Rosario	Manatí	PR	6740000	D12088@de.pr.gov	2020-2021
Arecibo	Manatí	Barceloneta	10702	Fernando Suria Chávez	18.4518108519861	-66.5386494651408	Abierta	Secundario	9 10 11 12 ES	No	620	557	2	39.7%	Others	6.59%	846-6750	Calle Georgetti Bo Pueblo	Barceloneta	PR	6170000	D10702@de.pr.gov	2020-2021
Arecibo	Manatí	Manatí	12062	Francisco Menéndez Balbañe	18.4130835231676	-66.5302004339302	Abierta	Primario	K 1 2 3 4 5	No	79	82	5	80.7%	Others	1.18%	854-3063	Carr 667 Km 4 Hm 6 Bo Cortes	Manatí	PR	6740000	D12062@de.pr.gov	2020-2021
Arecibo	Arecibo	Arecibo II	14787	Francisco Pachín Marín	18.4704112960203	-66.7546594021719	Abierta	Primario	K 1 2 3 4 5	No	307	298	3	49.8%	Others	3.96%	878-2019	Urb Vista Azul Calle 17	Arecibo	PR	6120000	D14787@de.pr.gov	2020-2021
Arecibo	Camuy	Lares	11593	Gabriela Mistral	18.1783912359536	-66.830715466734	Abierta	Todos Los Niveles	7 8 9 10 11 12	No	179	176	1	14.6%	Others	5.18%	829-1198	Carr 135 Km 65.6	Lares	PR	6690000	D11593@de.pr.gov	2020-2021
Arecibo	Camuy	Lares	12005	George Washington	18.3023132366433	-66.899608358477	Abierta	Primario	K 1 2 3 4 5	No	173	176	5	80.2%	Others	1.11%	897-4095	Carr 111 Km 33 Hm 9 Bo Pueblo Sect Serruquillo	Lares	PR	6690000	D12005@de.pr.gov	2020-2021
Arecibo	Manatí	Ciales	11239	Hato Viejo Cumbre	18.3606982236472	-66.4924852762132	Abierta	Primario	K 1 2 3 4 5	No	103	101	4	76.1%	Others	0.00%	871-3616	Carr 632 Km 2 Bo Hato Viejo	Ciales	PR	6380000	D11239@de.pr.gov	2020-2021
